UF;Tipo Crime;Ano;Mês;Sexo da Vítima;Vítimas
Alagoas;Lesão corporal seguida de morte;2022;março;Masculino;1
Alagoas;Lesão corporal seguida de morte;2022;março;Sexo NI;0
Alagoas;Lesão corporal seguida de morte;2022;maio;Masculino;1
Alagoas;Lesão corporal seguida de morte;2022;julho;Feminino;0
Alagoas;Lesão corporal seguida de morte;2022;julho;Masculino;0
Alagoas;Lesão corporal seguida de morte;2022;julho;Sexo NI;0
Alagoas;Lesão corporal seguida de morte;2022;agosto;Feminino;0
Alagoas;Lesão corporal seguida de morte;2022;agosto;Masculino;2
Alagoas;Lesão corporal seguida de morte;2022;agosto;Sexo NI;0
Alagoas;Roubo seguido de morte (latrocínio);2022;janeiro;Feminino;0
Alagoas;Roubo seguido de morte (latrocínio);2022;janeiro;Masculino;1
Alagoas;Roubo seguido de morte (latrocínio);2022;janeiro;Sexo NI;0
Alagoas;Roubo seguido de morte (latrocínio);2022;fevereiro;Feminino;0
Alagoas;Roubo seguido de morte (latrocínio);2022;fevereiro;Masculino;2
Alagoas;Roubo seguido de morte (latrocínio);2022;fevereiro;Sexo NI;0
Alagoas;Roubo seguido de morte (latrocínio);2022;março;Feminino;0
Alagoas;Roubo seguido de morte (latrocínio);2022;março;Masculino;2
Alagoas;Roubo seguido de morte (latrocínio);2022;março;Sexo NI;0
Alagoas;Roubo seguido de morte (latrocínio);2022;abril;Masculino;4
Alagoas;Roubo seguido de morte (latrocínio);2022;maio;Masculino;3
Alagoas;Roubo seguido de morte (latrocínio);2022;junho;Masculino;1
Alagoas;Roubo seguido de morte (latrocínio);2022;julho;Feminino;0
Alagoas;Roubo seguido de morte (latrocínio);2022;julho;Masculino;3
Alagoas;Roubo seguido de morte (latrocínio);2022;julho;Sexo NI;0
Alagoas;Roubo seguido de morte (latrocínio);2022;agosto;Feminino;1
Alagoas;Roubo seguido de morte (latrocínio);2022;agosto;Masculino;1
Alagoas;Roubo seguido de morte (latrocínio);2022;agosto;Sexo NI;0
Alagoas;Roubo seguido de morte (latrocínio);2022;setembro;Masculino;1
Alagoas;Roubo seguido de morte (latrocínio);2022;outubro;Masculino;2
Amapá;Homicídio doloso;2022;janeiro;Feminino;0
Amapá;Homicídio doloso;2022;janeiro;Masculino;16
Amapá;Homicídio doloso;2022;janeiro;Sexo NI;0
Amapá;Homicídio doloso;2022;fevereiro;Feminino;0
Amapá;Homicídio doloso;2022;fevereiro;Masculino;18
Amapá;Homicídio doloso;2022;fevereiro;Sexo NI;2
Amapá;Homicídio doloso;2022;março;Feminino;1
Amapá;Homicídio doloso;2022;março;Masculino;11
Amapá;Homicídio doloso;2022;março;Sexo NI;0
Amapá;Homicídio doloso;2022;abril;Feminino;1
Amapá;Homicídio doloso;2022;abril;Masculino;14
Amapá;Homicídio doloso;2022;maio;Masculino;13
Amapá;Homicídio doloso;2022;junho;Masculino;13
Amapá;Homicídio doloso;2022;julho;Masculino;13
Amapá;Homicídio doloso;2022;agosto;Feminino;4
Amapá;Homicídio doloso;2022;agosto;Masculino;18
Amapá;Homicídio doloso;2022;agosto;Sexo NI;0
Amapá;Homicídio doloso;2022;setembro;Feminino;2
Amapá;Homicídio doloso;2022;setembro;Masculino;7
Amapá;Homicídio doloso;2022;outubro;Feminino;1
Amapá;Homicídio doloso;2022;outubro;Masculino;13
Amapá;Homicídio doloso;2022;novembro;Feminino;1
Amapá;Homicídio doloso;2022;novembro;Masculino;20
Amapá;Homicídio doloso;2022;dezembro;Feminino;3
Amapá;Homicídio doloso;2022;dezembro;Masculino;23
Amapá;Homicídio doloso;2022;dezembro;Sexo NI;0
Amapá;Lesão corporal seguida de morte;2022;janeiro;Feminino;0
Amapá;Lesão corporal seguida de morte;2022;janeiro;Masculino;0
Amapá;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
Amapá;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
Amapá;Lesão corporal seguida de morte;2022;fevereiro;Masculino;0
Amapá;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
Amapá;Lesão corporal seguida de morte;2022;março;Feminino;0
Amapá;Lesão corporal seguida de morte;2022;março;Masculino;1
Amapá;Lesão corporal seguida de morte;2022;março;Sexo NI;0
Amapá;Lesão corporal seguida de morte;2022;maio;Masculino;2
Amapá;Lesão corporal seguida de morte;2022;junho;Masculino;2
Amapá;Lesão corporal seguida de morte;2022;julho;Masculino;2
Amapá;Lesão corporal seguida de morte;2022;agosto;Masculino;1
Amapá;Lesão corporal seguida de morte;2022;setembro;Masculino;1
Amapá;Lesão corporal seguida de morte;2022;outubro;Feminino;1
Amapá;Lesão corporal seguida de morte;2022;novembro;Masculino;2
Amapá;Lesão corporal seguida de morte;2022;dezembro;Masculino;2
Amapá;Roubo seguido de morte (latrocínio);2022;janeiro;Feminino;0
Amapá;Roubo seguido de morte (latrocínio);2022;janeiro;Masculino;7
Amapá;Roubo seguido de morte (latrocínio);2022;janeiro;Sexo NI;0
Amapá;Roubo seguido de morte (latrocínio);2022;fevereiro;Feminino;0
Amapá;Roubo seguido de morte (latrocínio);2022;fevereiro;Masculino;2
Amapá;Roubo seguido de morte (latrocínio);2022;fevereiro;Sexo NI;0
Amapá;Roubo seguido de morte (latrocínio);2022;março;Feminino;0
Amapá;Roubo seguido de morte (latrocínio);2022;março;Masculino;1
Amapá;Roubo seguido de morte (latrocínio);2022;março;Sexo NI;0
Amapá;Roubo seguido de morte (latrocínio);2022;abril;Masculino;2
Amapá;Roubo seguido de morte (latrocínio);2022;maio;Masculino;2
Amapá;Roubo seguido de morte (latrocínio);2022;junho;Masculino;3
Amapá;Roubo seguido de morte (latrocínio);2022;julho;Masculino;1
Amapá;Roubo seguido de morte (latrocínio);2022;agosto;Masculino;1
Amapá;Roubo seguido de morte (latrocínio);2022;setembro;Masculino;2
Amapá;Roubo seguido de morte (latrocínio);2022;dezembro;Feminino;0
Amapá;Roubo seguido de morte (latrocínio);2022;dezembro;Masculino;3
Amazonas;Homicídio doloso;2022;janeiro;Feminino;3
Amazonas;Homicídio doloso;2022;janeiro;Masculino;93
Amazonas;Homicídio doloso;2022;janeiro;Sexo NI;1
Amazonas;Homicídio doloso;2022;fevereiro;Feminino;8
Amazonas;Homicídio doloso;2022;fevereiro;Masculino;85
Amazonas;Homicídio doloso;2022;fevereiro;Sexo NI;0
Amazonas;Homicídio doloso;2022;março;Feminino;3
Amazonas;Homicídio doloso;2022;março;Masculino;96
Amazonas;Homicídio doloso;2022;março;Sexo NI;0
Amazonas;Homicídio doloso;2022;abril;Feminino;8
Amazonas;Homicídio doloso;2022;abril;Masculino;107
Amazonas;Homicídio doloso;2022;abril;Sexo NI;1
Amazonas;Homicídio doloso;2022;maio;Feminino;6
Amazonas;Homicídio doloso;2022;maio;Masculino;127
Amazonas;Homicídio doloso;2022;maio;Sexo NI;0
Amazonas;Homicídio doloso;2022;junho;Feminino;3
Amazonas;Homicídio doloso;2022;junho;Masculino;94
Amazonas;Homicídio doloso;2022;junho;Sexo NI;0
Amazonas;Homicídio doloso;2022;julho;Feminino;3
Amazonas;Homicídio doloso;2022;julho;Masculino;102
Amazonas;Homicídio doloso;2022;julho;Sexo NI;0
Amazonas;Homicídio doloso;2022;agosto;Feminino;6
Amazonas;Homicídio doloso;2022;agosto;Masculino;104
Amazonas;Homicídio doloso;2022;agosto;Sexo NI;0
Amazonas;Homicídio doloso;2022;setembro;Feminino;8
Amazonas;Homicídio doloso;2022;setembro;Masculino;110
Amazonas;Homicídio doloso;2022;setembro;Sexo NI;0
Amazonas;Homicídio doloso;2022;outubro;Feminino;5
Amazonas;Homicídio doloso;2022;outubro;Masculino;120
Amazonas;Homicídio doloso;2022;outubro;Sexo NI;1
Amazonas;Homicídio doloso;2022;novembro;Feminino;8
Amazonas;Homicídio doloso;2022;novembro;Masculino;101
Amazonas;Homicídio doloso;2022;novembro;Sexo NI;0
Amazonas;Homicídio doloso;2022;dezembro;Feminino;6
Amazonas;Homicídio doloso;2022;dezembro;Masculino;110
Amazonas;Homicídio doloso;2022;dezembro;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;janeiro;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;janeiro;Masculino;1
Amazonas;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;fevereiro;Masculino;2
Amazonas;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;março;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;março;Masculino;5
Amazonas;Lesão corporal seguida de morte;2022;março;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;abril;Feminino;4
Amazonas;Lesão corporal seguida de morte;2022;abril;Sexo NI;1
Amazonas;Lesão corporal seguida de morte;2022;maio;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;maio;Masculino;2
Amazonas;Lesão corporal seguida de morte;2022;maio;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;junho;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;junho;Masculino;0
Amazonas;Lesão corporal seguida de morte;2022;junho;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;julho;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;julho;Masculino;2
Amazonas;Lesão corporal seguida de morte;2022;julho;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;agosto;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;agosto;Masculino;1
Amazonas;Lesão corporal seguida de morte;2022;agosto;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;setembro;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;setembro;Masculino;4
Amazonas;Lesão corporal seguida de morte;2022;setembro;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;outubro;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;outubro;Masculino;5
Amazonas;Lesão corporal seguida de morte;2022;outubro;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;novembro;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;novembro;Masculino;5
Amazonas;Lesão corporal seguida de morte;2022;novembro;Sexo NI;0
Amazonas;Lesão corporal seguida de morte;2022;dezembro;Feminino;0
Amazonas;Lesão corporal seguida de morte;2022;dezembro;Masculino;2
Amazonas;Lesão corporal seguida de morte;2022;dezembro;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;janeiro;Feminino;1
Amazonas;Roubo seguido de morte (latrocínio);2022;janeiro;Masculino;4
Amazonas;Roubo seguido de morte (latrocínio);2022;janeiro;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;fevereiro;Feminino;1
Amazonas;Roubo seguido de morte (latrocínio);2022;fevereiro;Masculino;4
Amazonas;Roubo seguido de morte (latrocínio);2022;fevereiro;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;março;Feminino;0
Amazonas;Roubo seguido de morte (latrocínio);2022;março;Masculino;5
Amazonas;Roubo seguido de morte (latrocínio);2022;março;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;abril;Feminino;1
Amazonas;Roubo seguido de morte (latrocínio);2022;abril;Masculino;3
Amazonas;Roubo seguido de morte (latrocínio);2022;maio;Feminino;1
Amazonas;Roubo seguido de morte (latrocínio);2022;maio;Masculino;6
Amazonas;Roubo seguido de morte (latrocínio);2022;maio;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;junho;Feminino;0
Amazonas;Roubo seguido de morte (latrocínio);2022;junho;Masculino;4
Amazonas;Roubo seguido de morte (latrocínio);2022;junho;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;julho;Feminino;0
Amazonas;Roubo seguido de morte (latrocínio);2022;julho;Masculino;6
Amazonas;Roubo seguido de morte (latrocínio);2022;julho;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;agosto;Feminino;0
Amazonas;Roubo seguido de morte (latrocínio);2022;agosto;Masculino;3
Amazonas;Roubo seguido de morte (latrocínio);2022;agosto;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;setembro;Feminino;0
Amazonas;Roubo seguido de morte (latrocínio);2022;setembro;Masculino;2
Amazonas;Roubo seguido de morte (latrocínio);2022;setembro;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;outubro;Feminino;1
Amazonas;Roubo seguido de morte (latrocínio);2022;outubro;Masculino;4
Amazonas;Roubo seguido de morte (latrocínio);2022;outubro;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;novembro;Feminino;0
Amazonas;Roubo seguido de morte (latrocínio);2022;novembro;Masculino;5
Amazonas;Roubo seguido de morte (latrocínio);2022;novembro;Sexo NI;0
Amazonas;Roubo seguido de morte (latrocínio);2022;dezembro;Feminino;0
Amazonas;Roubo seguido de morte (latrocínio);2022;dezembro;Masculino;5
Amazonas;Roubo seguido de morte (latrocínio);2022;dezembro;Sexo NI;0
Bahia;Homicídio doloso;2022;janeiro;Feminino;39
Bahia;Homicídio doloso;2022;janeiro;Masculino;359
Bahia;Homicídio doloso;2022;janeiro;Sexo NI;0
Bahia;Homicídio doloso;2022;fevereiro;Feminino;27
Bahia;Homicídio doloso;2022;fevereiro;Masculino;393
Bahia;Homicídio doloso;2022;fevereiro;Sexo NI;0
Bahia;Homicídio doloso;2022;março;Feminino;25
Bahia;Homicídio doloso;2022;março;Masculino;463
Bahia;Homicídio doloso;2022;março;Sexo NI;0
Bahia;Homicídio doloso;2022;abril;Feminino;34
Bahia;Homicídio doloso;2022;abril;Masculino;396
Bahia;Homicídio doloso;2022;abril;Sexo NI;2
Bahia;Homicídio doloso;2022;maio;Feminino;46
Bahia;Homicídio doloso;2022;maio;Masculino;412
Bahia;Homicídio doloso;2022;maio;Sexo NI;0
Bahia;Homicídio doloso;2022;junho;Feminino;27
Bahia;Homicídio doloso;2022;junho;Masculino;356
Bahia;Homicídio doloso;2022;junho;Sexo NI;0
Bahia;Homicídio doloso;2022;julho;Feminino;31
Bahia;Homicídio doloso;2022;julho;Masculino;370
Bahia;Homicídio doloso;2022;julho;Sexo NI;0
Bahia;Homicídio doloso;2022;agosto;Feminino;40
Bahia;Homicídio doloso;2022;agosto;Masculino;330
Bahia;Homicídio doloso;2022;agosto;Sexo NI;0
Bahia;Homicídio doloso;2022;setembro;Feminino;23
Bahia;Homicídio doloso;2022;setembro;Masculino;366
Bahia;Homicídio doloso;2022;setembro;Sexo NI;0
Bahia;Homicídio doloso;2022;outubro;Feminino;35
Bahia;Homicídio doloso;2022;outubro;Masculino;418
Bahia;Homicídio doloso;2022;outubro;Sexo NI;1
Bahia;Homicídio doloso;2022;novembro;Feminino;27
Bahia;Homicídio doloso;2022;novembro;Masculino;383
Bahia;Homicídio doloso;2022;novembro;Sexo NI;0
Bahia;Homicídio doloso;2022;dezembro;Feminino;42
Bahia;Homicídio doloso;2022;dezembro;Masculino;384
Bahia;Homicídio doloso;2022;dezembro;Sexo NI;1
Bahia;Lesão corporal seguida de morte;2022;janeiro;Feminino;3
Bahia;Lesão corporal seguida de morte;2022;janeiro;Masculino;1
Bahia;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
Bahia;Lesão corporal seguida de morte;2022;fevereiro;Masculino;4
Bahia;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;março;Feminino;0
Bahia;Lesão corporal seguida de morte;2022;março;Masculino;5
Bahia;Lesão corporal seguida de morte;2022;março;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;abril;Feminino;0
Bahia;Lesão corporal seguida de morte;2022;abril;Masculino;5
Bahia;Lesão corporal seguida de morte;2022;abril;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;maio;Feminino;0
Bahia;Lesão corporal seguida de morte;2022;maio;Masculino;4
Bahia;Lesão corporal seguida de morte;2022;maio;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;junho;Feminino;0
Bahia;Lesão corporal seguida de morte;2022;junho;Masculino;10
Bahia;Lesão corporal seguida de morte;2022;junho;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;julho;Feminino;0
Bahia;Lesão corporal seguida de morte;2022;julho;Masculino;1
Bahia;Lesão corporal seguida de morte;2022;julho;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;agosto;Feminino;1
Bahia;Lesão corporal seguida de morte;2022;agosto;Masculino;5
Bahia;Lesão corporal seguida de morte;2022;agosto;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;setembro;Feminino;0
Bahia;Lesão corporal seguida de morte;2022;setembro;Masculino;4
Bahia;Lesão corporal seguida de morte;2022;setembro;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;outubro;Feminino;0
Bahia;Lesão corporal seguida de morte;2022;outubro;Masculino;3
Bahia;Lesão corporal seguida de morte;2022;outubro;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;novembro;Feminino;1
Bahia;Lesão corporal seguida de morte;2022;novembro;Masculino;7
Bahia;Lesão corporal seguida de morte;2022;novembro;Sexo NI;0
Bahia;Lesão corporal seguida de morte;2022;dezembro;Feminino;0
Bahia;Lesão corporal seguida de morte;2022;dezembro;Masculino;3
Bahia;Lesão corporal seguida de morte;2022;dezembro;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;janeiro;Feminino;0
Bahia;Roubo seguido de morte (latrocínio);2022;janeiro;Masculino;4
Bahia;Roubo seguido de morte (latrocínio);2022;janeiro;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;fevereiro;Feminino;1
Bahia;Roubo seguido de morte (latrocínio);2022;fevereiro;Masculino;7
Bahia;Roubo seguido de morte (latrocínio);2022;fevereiro;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;março;Feminino;0
Bahia;Roubo seguido de morte (latrocínio);2022;março;Masculino;5
Bahia;Roubo seguido de morte (latrocínio);2022;março;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;abril;Feminino;1
Bahia;Roubo seguido de morte (latrocínio);2022;abril;Masculino;7
Bahia;Roubo seguido de morte (latrocínio);2022;abril;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;maio;Feminino;1
Bahia;Roubo seguido de morte (latrocínio);2022;maio;Masculino;4
Bahia;Roubo seguido de morte (latrocínio);2022;maio;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;junho;Feminino;1
Bahia;Roubo seguido de morte (latrocínio);2022;junho;Masculino;11
Bahia;Roubo seguido de morte (latrocínio);2022;junho;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;julho;Feminino;1
Bahia;Roubo seguido de morte (latrocínio);2022;julho;Masculino;5
Bahia;Roubo seguido de morte (latrocínio);2022;julho;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;agosto;Feminino;1
Bahia;Roubo seguido de morte (latrocínio);2022;agosto;Masculino;5
Bahia;Roubo seguido de morte (latrocínio);2022;agosto;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;setembro;Feminino;2
Bahia;Roubo seguido de morte (latrocínio);2022;setembro;Masculino;5
Bahia;Roubo seguido de morte (latrocínio);2022;setembro;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;outubro;Feminino;1
Bahia;Roubo seguido de morte (latrocínio);2022;outubro;Masculino;8
Bahia;Roubo seguido de morte (latrocínio);2022;outubro;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;novembro;Feminino;0
Bahia;Roubo seguido de morte (latrocínio);2022;novembro;Masculino;5
Bahia;Roubo seguido de morte (latrocínio);2022;novembro;Sexo NI;0
Bahia;Roubo seguido de morte (latrocínio);2022;dezembro;Feminino;2
Bahia;Roubo seguido de morte (latrocínio);2022;dezembro;Masculino;8
Bahia;Roubo seguido de morte (latrocínio);2022;dezembro;Sexo NI;0
Ceará;Homicídio doloso;2022;janeiro;Feminino;17
Ceará;Homicídio doloso;2022;janeiro;Masculino;225
Ceará;Homicídio doloso;2022;janeiro;Sexo NI;0
Ceará;Homicídio doloso;2022;fevereiro;Feminino;17
Ceará;Homicídio doloso;2022;fevereiro;Masculino;252
Ceará;Homicídio doloso;2022;fevereiro;Sexo NI;0
Ceará;Homicídio doloso;2022;março;Feminino;19
Ceará;Homicídio doloso;2022;março;Masculino;204
Ceará;Homicídio doloso;2022;março;Sexo NI;0
Ceará;Homicídio doloso;2022;abril;Feminino;22
Ceará;Homicídio doloso;2022;abril;Masculino;212
Ceará;Homicídio doloso;2022;abril;Sexo NI;0
Ceará;Homicídio doloso;2022;maio;Feminino;23
Ceará;Homicídio doloso;2022;maio;Masculino;241
Ceará;Homicídio doloso;2022;maio;Sexo NI;0
Ceará;Homicídio doloso;2022;junho;Feminino;17
Ceará;Homicídio doloso;2022;junho;Masculino;191
Ceará;Homicídio doloso;2022;junho;Sexo NI;0
Ceará;Homicídio doloso;2022;julho;Feminino;22
Ceará;Homicídio doloso;2022;julho;Masculino;221
Ceará;Homicídio doloso;2022;julho;Sexo NI;0
Ceará;Homicídio doloso;2022;agosto;Feminino;13
Ceará;Homicídio doloso;2022;agosto;Masculino;232
Ceará;Homicídio doloso;2022;agosto;Sexo NI;0
Ceará;Homicídio doloso;2022;setembro;Feminino;21
Ceará;Homicídio doloso;2022;setembro;Masculino;222
Ceará;Homicídio doloso;2022;setembro;Sexo NI;0
Ceará;Homicídio doloso;2022;outubro;Feminino;22
Ceará;Homicídio doloso;2022;outubro;Masculino;224
Ceará;Homicídio doloso;2022;outubro;Sexo NI;0
Ceará;Homicídio doloso;2022;novembro;Feminino;19
Ceará;Homicídio doloso;2022;novembro;Masculino;209
Ceará;Homicídio doloso;2022;novembro;Sexo NI;0
Ceará;Homicídio doloso;2022;dezembro;Feminino;24
Ceará;Homicídio doloso;2022;dezembro;Masculino;213
Ceará;Homicídio doloso;2022;dezembro;Sexo NI;0
Ceará;Lesão corporal seguida de morte;2022;janeiro;Feminino;0
Ceará;Lesão corporal seguida de morte;2022;janeiro;Masculino;1
Ceará;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
Ceará;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
